nombre,tipo,localizacion,promedio_derrotas
Señores Mantis,Jefe,Aldea Mantis,6.5
Maestro del Alma,Jefe,Ciudad de Lágrimas,5.1
Vigilantes,Jefe,Ciudad de Lágrimas,6.9
Traidor Lord,Jefe,Jardines de la Reina,7.4
Nosk,Jefe,Nido Profundo,5.6
Hornet (Centinela),Jefe,Borde del Reino,6.1
Príncipe Gris Zote,Jefe de Sueño,Sueño,12.7
Rey Pesadilla Grimm,Jefe DLC,Sueño,9.3
Grimm,Jefe DLC,Distrito del Circo,6.0
Guardían Cristalizado Enfurecido,Jefe de Sueño,Pico Cristal,7.8
Radiance,Jefe Final Secreto,Sueño,10.2
Radiance Absoluta,Jefe Final DLC,Panteón de Hallownest,25.0
